ID;Name;NeOn ODP;Formalization;Example;OWL constructs;Expressivity
LSP-DC-SC-EN;Lexico Syntactic ODPs corresponding to Defined Classes and SubclassOf relation ODPs;LP-DC-01 + LP-SC-01;[A| any] NP<subclass> be [a| any] NP<superclass> REPRO VB [(NP<class>,)* and] NP<class>;A device is any machine or component that attaches to a computer;Class (Thing, Nothing), subclassOf;AL
LSP-DC-SC-EN;Lexico Syntactic ODPs corresponding to Defined Classes and SubclassOf relation ODPs;LP-DC-01 + LP-SC-01;[A| any] NP<subclass> be [a| any] NP<superclass> PREP [(NP<class>,)* and| or NP<class;A vegetarian pizza is a pizza without fish or meat;Class (Thing, Nothing), subclassOf;AL
LSP-DC-SC-EN;Lexico Syntactic ODPs corresponding to Defined Classes and SubclassOf relation ODPs;LP-DC-01 + LP-SC-01;[A| any] NP<subclass> REPRO VB [(NP<class>,)* and| or NP<class> be [a] NP<superclass>;A workflow that contains at least one business task is a business plan;Class (Thing, Nothing), subclassOf;AL
LSP-DC-SC-EN;Lexico Syntactic ODPs corresponding to Defined Classes and SubclassOf relation ODPs;LP-DC-01 + LP-SC-01;[A| any] NP<subclass> PREP [(NP<class>,)* and] NP<class> be VB [a] NP<superclass>;Animal with backbones are called vertebrates;Class (Thing, Nothing), subclassOf;AL
LSP-SC-Di-EC-EN; Lexico Syntactic ODPs corresponding to SubclassOf relation, Disjoint Classes, and Exhaustive Classes ODPs;LP-SC-01 + LP-Di-01 + LP-EC-01;NP<superclass> be| CATV [either] NP<subclass> or| and NP<subclass>;Animals are either vertebrates or invertebrates.;Class (Thing, Nothing), subClassOf, someValuesOf, disjointWith;ALC
LSP-SC-Di-EC-EN; Lexico Syntactic ODPs corresponding to SubclassOf relation, Disjoint Classes, and Exhaustive Classes ODPs;LP-SC-01 + LP-Di-01 + LP-EC-01;There are CD CN-CATV NP<superclass> [PARA] [(NP<subclass>,)* and] NP<subclass>;"There are two types of narcotic analgesics: the opiates and the opioids.
";Class (Thing, Nothing), subClassOf, someValuesOf, disjointWith;ALC
LSP-SC-Di-EC-EN; Lexico Syntactic ODPs corresponding to SubclassOf relation, Disjoint Classes, and Exhaustive Classes ODPs;LP-SC-01 + LP-Di-01 + LP-EC-01;NP<superclass> CATV CD CN-CATV [PARA] [(NP<subclass>,)*and] NP <subclass>;Membrane proteins are classified into two major categories, integral proteins and peripheral proteins;Class (Thing, Nothing), subClassOf, someValuesOf, disjointWith;ALC
LSP-SC-Di-EC-EN; Lexico Syntactic ODPs corresponding to SubclassOf relation, Disjoint Classes, and Exhaustive Classes ODPs;LP-SC-01 + LP-Di-01 + LP-EC-01;NP<superclass> be divided | separate in | into CD CN-CATV [PARA] [(NP<subclass >,)* and] NP<subclass>;"Marine mammals are divided into three orders: Carnivora, Sirenia and Cetacea.";Class (Thing, Nothing), subClassOf, someValuesOf, disjointWith;ALC
LSP-OP-UR-EN; Lexico Syntactic ODPs corresponding to Object Property and Universal Restriction ODPs;LP-OP-01 + LP-UR-01;NP<class> VB NEG(be| have| CATV| PART) just | only | exclusively NP<class>;Herbivore eat only plants;Class (Thing, Nothing), subClassOf, allValuesFrom;AL
LSP-Min-OP-EN;Lexico Syntactic Pattern  corresponding to Minimum Cardinality  and Object Property ODP;; NP<class1> VB CD or more  NP<class2>  PREP VB NP<class3>;A device performs one or more functionalities in order to accomplish a particular task;someValuesFrom, maxCardinality, ObjectProperty, Class (Thing, Nothing);ALEQ
